,Subject,Hazard,Ipast,Ifuture,DFB,W
26,CM8914,h1,0.6860333775449208,0.3799734690701911,-0.16788424282539943,0.5478577118955905
27,DN8438,h1,0.6035185020841604,0.29437395812105843,-0.1936211710562437,0.48799512917730214
28,DW1151,h1,0.713962084901668,0.44167156103043076,-0.12575957808976873,0.5674311391201995
29,BY0,h1,0.780073321210901,0.6493973529044434,0.03729564253848361,0.6121017103659598
30,FS0,h1,0.775721382617731,0.4338214377396495,-0.17541048888173266,0.6092319266213821
31,KS0,h1,0.3123081729803864,0.07261312511273259,-0.18211202323171122,0.2547251483444438
32,ML0,h1,0.539623099892561,0.3293216871911776,-0.11056062659839955,0.43988231378957715
33,MS1,h1,0.591829553911196,0.3129654025202799,-0.16624907424575608,0.47921447676603596
34,MSA0,h1,0.4252101687086778,0.19652086963652135,-0.1502450477236393,0.34676591736016066
35,NR0,h1,0.7236804141845268,0.44289358375158133,-0.1313023617183839,0.5741959454699652
36,FA8439,h1,0.7888920885237463,0.6190655269522551,0.001263764246432264,0.6178017627058229
37,FJ7,h1,0.6141074943757335,0.34245568572281465,-0.1533022888002354,0.49575797452305004
38,GN8984,h1,0.6333263477704673,0.34711878388400375,-0.1627286320625374,0.5098474159465411
39,IC7065,h1,0.5878296751048029,0.43118764099843204,-0.04501334082609765,0.4762009818245297
40,ID8987,h1,0.7063410933021878,0.3232764659132341,-0.2388497971461585,0.5621262630593926
41,IL8995,h1,0.8124076683093385,0.5839927202281358,-0.048816682868035755,0.6328094030961715
42,KC8422,h1,0.5695539077126875,0.354527528148721,-0.10790455335306415,0.46243208150178516
43,KG8983,h1,0.5143453889507641,0.2748339996964531,-0.1445973667068825,0.4194313664033356
44,KN7070,h1,0.7709267759519086,0.5289147055565654,-0.07714388261861294,0.6060585881751783
45,KN8046,h1,0.8224716197064147,0.49757202290338715,-0.14151269684103646,0.6390847197444236
46,LB8988,h1,0.5758785197637736,0.2539187474601187,-0.2132782750174967,0.4671970224776154
47,LI9012,h1,0.5447865536502673,0.2711649751147354,-0.17260746698439944,0.44377244209913486
48,MW1,h1,0.37182779254531784,0.14730399148917797,-0.15594316499994956,0.30324715648912753
49,ND8500,h1,0.19461915611589228,0.00017323574394276478,-0.15860863412223292,0.15878186986617568
50,NF7105,h1,0.5882414196715456,0.36351128980244524,-0.11299989896312695,0.4765111887655722
51,NH8916,h1,0.44516849615541676,0.24206772632848386,-0.1209687608707273,0.36303648719921117
52,NM8986,h1,0.6597131208085295,0.3564829901366395,-0.1725804181529061,0.5290634082895456
53,NT7055,h1,0.4966116505571954,0.27365191424528346,-0.13132242764986102,0.4049743418951445
54,NT9020,h1,0.28203324502388255,0.08409613277492661,-0.1459480731908009,0.2300442059657275
55,NY8428,h1,0.7040435888675813,0.41911494294867063,-0.14141205627272319,0.5605269992213938
56,OC7098,h1,0.5355548152522199,0.2869800690562638,-0.14974179690445916,0.43672186596072293
57,SS2501,h1,0.46151710115349864,0.1586139781122554,-0.21775033528392515,0.37636431339618054
58,SS9016,h1,0.6536586661571271,0.35914627819575934,-0.1655938721549623,0.5247401503507216
59,TC9022,h1,0.3869458370494055,0.18233310314609139,-0.13323869325036578,0.31557179639645716
60,TF9011,h1,0.5982739893839402,0.3034844562217887,-0.1805852360740124,0.4840696922958011
61,UC9021,h1,0.6257123224042418,0.3561120729828324,-0.14815346135032353,0.5042655343331559
62,WL9018,h1,0.6457633401130304,0.4526369943859931,-0.06632804535921683,0.5189650397452099
63,WZ15,h1,0.6043824383539652,0.35256751098480993,-0.13606097436713166,0.4886284853519416
64,ZK8985,h1,0.6819725262646495,0.3701727668642238,-0.17478524414224555,0.5449580110064693
0,BS8975,h9,0.5642988845580175,0.14592641431465847,-0.3185125632198113,0.4644389775344698
1,BU8993,h9,0.3136097674420286,0.058157055556129225,-0.20071995611988802,0.25887701167601723
2,BW8982,h9,0.29630766263302294,0.0654988487933868,-0.17910858949850833,0.24460743829189513
3,DD8455,h9,0.42435294898381903,0.07923784871053692,-0.2709724413871447,0.3502102900976816
4,EI8977,h9,0.43285119945248696,0.10700852334242578,-0.2502105330318413,0.3572190563742671
5,FH7090,h9,0.5128272183825334,0.11353717623892645,-0.3096405414479362,0.42317771768686263
6,GU7101,h9,0.40798474708698945,0.0521877255934321,-0.28452320932687447,0.33671093492030657
7,KD8974,h9,0.37867928674261514,0.10011506680502891,-0.21242676143399863,0.31254182823902754
8,KQ8976,h9,0.4656387409208871,0.1673748979524915,-0.21688504357609284,0.38425994152858434
9,KQ8978,h9,0.44035982610912744,0.08233478926887255,-0.28107686045017294,0.3634116497190455
10,LT8818,h9,0.06701088695125161,0.0017328614341512606,-0.05376653460206565,0.05549939603621691
11,MC8912,h9,0.31083845486764333,0.07081832428735461,-0.18577310141013192,0.25659142569748655
12,MH11,h9,0.5150652251594672,0.15228726812057938,-0.27273620199294735,0.42502347011352676
13,NI1545,h9,0.1899032641923424,0.003157042265446849,-0.15369544431951115,0.156852486584958
14,NM8919,h9,0.3253002307871412,0.053692037300775,-0.2148264559428863,0.2685184932436613
15,NN8813,h9,0.4159147989607977,0.06649038487808659,-0.276760705613021,0.3432510904911076
16,NS969,h9,0.5062503968669881,0.09971855349421374,-0.3180350589588453,0.41775361245305903
17,NT8981,h9,0.28506643202560733,0.04665345560627174,-0.1886829970540449,0.23533645266031664
18,OO8992,h9,0.3230289777602056,0.006796676634570538,-0.25984864498635857,0.26664532162092913
19,TO8820,h9,0.4384032774910629,0.060438852731542016,-0.3013591716862313,0.3617980244177733
20,UX8973,h9,0.37363673520343227,0.12138811158416292,-0.1869949706510758,0.3083830822352387
21,YL13,h9,0.46148824545770456,0.09973108650151516,-0.28110581486830644,0.38083690136982157
22,AH10,h9,0.3794730426162622,0.1075904304006008,-0.20560603250935933,0.3131964629099601
23,AN14,h9,0.3623324026201903,0.13687784354999002,-0.1621822109302016,0.29906005448019163
24,AV12,h9,0.33381544751116404,0.03205086768048299,-0.24349038442786292,0.2755412521083459
25,BC1809,h9,0.6119386881204332,0.18992697805891684,-0.31021244787419117,0.500139425933108
26,BC8970,h9,0.34796272201774103,0.04100742633179805,-0.24620151441821214,0.2872089407500102
27,BT8810,h9,0.5151613952768389,0.032543795728888124,-0.3925589888127007,0.4251027845415888
28,BX1457,h9,0.6867886203873909,0.16638516761211067,-0.38775160647103124,0.5541367740831419
29,BX9019,h9,0.3636757921838155,0.009889964142335624,-0.29027802467146585,0.30016798881380147
30,CM8914,h9,0.5607861010054603,0.031855356484339195,-0.4299364397200999,0.4617917962044391
31,DN8438,h9,0.5006590321356444,0.06577824284283622,-0.34736400063332395,0.4131422434761602
32,CZ0,h9,0.2682884380816276,0.015852081755992505,-0.20564704773094003,0.22149912948693254
33,ET0,h9,0.12979321725762435,0.022013895239521478,-0.08526400285886523,0.10727789809838671
34,FS0,h9,0.22704572368425813,2.3661728483305793e-05,-0.18746134368798745,0.18748500541647076
35,KS0,h9,0.31086793753028985,0.03099455187396719,-0.22562118907434223,0.2566157409483094
36,ML0,h9,0.2706131175660162,0.05246408412173215,-0.17095227941638821,0.22341636353812036
37,MS0,h9,0.17107957199516105,-0.0004608306684919871,-0.14178884435648792,0.14132801368799594
38,MS1,h9,0.16339751490764826,0.0007520779981133181,-0.13424030898080022,0.13499238697891355
39,MSA0,h9,0.255772807173029,0.0822565286985678,-0.1289205783714229,0.21117710706999068
40,FJ7,h9,0.3756436449783117,0.08387348702011876,-0.2261647548979493,0.31003824191806806
41,FN1169,h9,0.2654342621978949,0.007589867854906019,-0.21155533575574142,0.21914520361064743
42,GN8984,h9,0.30684019064494933,0.011983413908782768,-0.24131052137556364,0.2532939352843464
43,IL8995,h9,0.2587581571877446,-0.00033442330862098763,-0.21397363956027035,0.21363921625164936
44,JL9023,h9,0.2657659046070975,0.10984880395850075,-0.10956991525892651,0.21941871921742725
45,KC8422,h9,0.34135777962864994,0.04027528325026391,-0.24148636012411268,0.2817616433743766
46,KG8983,h9,0.5729143971679359,0.10630542735046164,-0.3646260720796477,0.47093149943010937
47,KN7070,h9,0.33256726835995776,0.019632894859377883,-0.2548789458454839,0.27451184070486173
48,KN8046,h9,0.11091509087064548,0.01192471109136308,-0.0797838205740152,0.09170853166537828
49,LB8988,h9,0.2641571430211543,0.010808818703911587,-0.20728310578180045,0.21809192448571205
50,MD8979,h9,0.3487888826827042,0.0004060620075520981,-0.2874842386328242,0.2878903006403763
51,MW1,h9,0.15706802712917042,0.04394275154439524,-0.08582951387497935,0.1297722654193746
52,ND8500,h9,0.2751782647976338,0.04758133831461268,-0.17960004133859808,0.22718137965321075
53,NF7105,h9,0.4937156605102474,0.11502870922014731,-0.2923871239703542,0.4074158331905015
54,NH8916,h9,0.4304322087684651,0.07105901262918503,-0.28416502837197033,0.35522404100115534
55,NM8986,h9,0.43203210311062334,0.0478531360592944,-0.30869038658726083,0.35654352264655526
56,NT7055,h9,0.440368752315452,0.043587305311433254,-0.31983170612213174,0.363419011433565
57,NT9020,h9,0.07932585552086334,0.0037668300615608633,-0.06188909604236001,0.06565592610392088
58,NY8428,h9,0.4026190796049375,0.08595520247157552,-0.24633050287492303,0.33228570534649854
59,OC7098,h9,0.4161440412274183,0.06721501535267364,-0.2762251382254049,0.34344015357807856
60,RC4,h9,0.1465104257195666,0.00020958146894489268,-0.12085550816241582,0.12106508963136071
61,SS2501,h9,0.15327304727831503,0.04085036000782565,-0.08579206981808637,0.12664242982591203
62,SS9016,h9,0.2117390788490715,0.003559578918132991,-0.17130156979700148,0.17486114871513447
63,UC9021,h9,0.23396837021363315,0.012187883669955627,-0.1810064394135679,0.19319432308352352
64,WZ15,h9,0.19959827071595648,-8.612295370164985e-05,-0.16493437702333275,0.1648482540696311
65,ZK8985,h9,0.45628420574918677,0.007368095594531123,-0.36917687555441187,0.376544971148943
